objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
20.269899999999996,128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,20,none,cores
19.825938333333333,128,800, , ,4,2,160,none,cores
90.90092166666665,2,200, , ,2,64,100,balanced,threads
54.29008166666667,4,200, , ,32,64,40,compact,cores
19.921198333333333,128,800, , ,4,2,160,none,threads
25.400755000000004,64,640, , ,4,2,160,none,cores
21.196126666666668,64,800, , ,4,2,160,disabled,cores
17.783131666666666,128,800, ,#pragma omp parallel for,8,2,100,none,cores
17.983278333333335,128,800,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,100,none,cores
17.85644,192,800, ,#pragma omp parallel for,8,2,10,none,cores
17.773646666666664,128,800, ,#pragma omp parallel for,32,2,100,none,sockets
17.737375,128,800, ,#pragma omp parallel for,32,96,100,none,sockets
17.819158333333334,128,1600, ,#pragma omp parallel for,32,2,100,none,sockets
17.62841666666667,128,800, ,#pragma omp parallel for,32,64,100,balanced,sockets
17.783793333333332,192,800, ,#pragma omp parallel for,128,64,100,balanced,sockets
17.794278333333335,128,800, ,#pragma omp parallel for,32,64,100,balanced,cores
44.79965333333333,4,800, ,#pragma omp parallel for,64,128,100,scatter,sockets
17.891583333333333,128,800, ,#pragma omp parallel for,64,64,100,balanced,sockets
21.603528333333333,48,800, ,#pragma omp parallel for,128,64,100,balanced,sockets
17.862751666666668,128,800, ,#pragma omp parallel for,32,64,100,none,sockets
18.146424999999997,128,800,#pragma clang loop unrolling full, ,32,64,100,balanced,sockets
27.10149833333333,32,800, ,#pragma omp parallel for,32,64,10,disabled,sockets
17.978725,128,800, , ,32,64,100,scatter,sockets
18.019205,128,800, ,#pragma omp parallel for,32,64,100,explicit,sockets
17.68569833333333,128,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,80,balanced,sockets
17.626726666666666,128,800, ,#pragma omp parallel for,32,4,100,balanced,sockets
17.634828333333335,128,800, ,#pragma omp parallel for,32,16,40,balanced,sockets
17.866501666666668,128,800, ,#pragma omp parallel for,32,4,100,disabled,sockets
17.790869999999998,128,800, ,#pragma omp parallel for,8,4,100,balanced,sockets
17.763348333333333,128,800, ,#pragma omp parallel for,32,128,100,balanced,sockets
17.845038333333335,128,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,100,balanced,sockets
18.549805000000003,128,800,#pragma clang loop unrolling full, ,32,4,40,balanced,sockets
85.44866333333334,2,800, ,#pragma omp parallel for,96,4,100,balanced,sockets
28.783876666666668,32,800, ,#pragma omp parallel for,32,4,100,balanced,sockets
85.39313500000002,2,800, ,#pragma omp parallel for,32,4,100,balanced,sockets
18.11502666666667,128,1280, ,#pragma omp parallel for,32,4,100,balanced,sockets
18.781951666666668,128,800, , ,32,4,100,balanced,sockets
17.87259,128,800, ,#pragma omp parallel for,32,4,100,balanced,cores
17.85992166666667,128,800, ,#pragma omp parallel for,256,256,100,balanced,sockets
17.863635000000002,128,800, ,#pragma omp parallel for,32,16,100,balanced,sockets
85.32554,2,800, ,#pragma omp parallel for,32,4,100,balanced,cores
17.981651666666668,128,800, ,#pragma omp parallel for,32,4,100,explicit,sockets
23.606728333333336,48,400, ,#pragma omp parallel for,32,4,100,balanced,sockets
18.066523333333333,192,800, ,#pragma omp parallel for,32,4,100,balanced,threads
17.806766666666665,128,800, ,#pragma omp parallel for,32,4,100,balanced,threads
17.75565,128,640, ,#pragma omp parallel for,32,4,80,balanced,sockets
17.936308333333333,128,800, ,#pragma omp parallel for,32,96,100,balanced,sockets
18.096915,192,800, ,#pragma omp parallel for,32,4,100,scatter,sockets
17.857173333333332,128,800, ,#pragma omp parallel for,64,4,100,balanced,sockets
25.225018333333335,48,200, ,#pragma omp parallel for,32,4,100,balanced,sockets
17.822258333333334,128,800, ,#pragma omp parallel for,32,2,80,compact,sockets
17.789945,128,800, ,#pragma omp parallel for,16,4,100,balanced,sockets
18.075233333333333,256,800, ,#pragma omp parallel for,32,4,100,balanced,sockets
18.767515,128,200, ,#pragma omp parallel for,32,4,100,balanced,cores
18.25216,48,800, ,#pragma omp parallel for,32,4,100,scatter,sockets
18.746048333333334,128,800,#pragma clang loop unrolling full, ,32,4,100,balanced,sockets
17.911275,128,800,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,100,balanced,sockets
18.186978333333332,128,800, , ,32,4,100,balanced,cores
