objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
1.2508916666666667,128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,20,none,cores
1.24982,128,800, , ,4,2,160,none,cores
4.257375,2,200, , ,2,64,100,balanced,threads
2.61975,4,200, , ,32,64,40,compact,cores
1.2654,128,800, , ,4,2,160,none,threads
1.25386,64,640, , ,4,2,160,none,cores
1.1700066666666666,64,800, , ,4,2,160,disabled,cores
1.2277483333333332,128,800, ,#pragma omp parallel for,8,2,100,none,cores
1.2927099999999998,64,800,#pragma clang loop unrolling full, ,4,2,160,disabled,cores
1.4275799999999998,192,800, , ,4,2,10,disabled,cores
1.2306516666666665,64,800, , ,32,2,160,disabled,sockets
1.19776,64,800, , ,4,2,160,disabled,sockets
1.2140783333333334,64,800, , ,4,96,160,disabled,cores
1.202715,64,800, , ,4,96,160,disabled,sockets
1.17226,64,800, ,#pragma omp parallel for,4,2,160,disabled,cores
1.3459,64,800, , ,4,2,160,balanced,cores
1.2032583333333333,64,2000, , ,4,2,160,disabled,cores
1.2199016666666667,64,800, , ,2,2,160,disabled,cores
0.5968583333333334,16,200, , ,4,2,128,disabled,cores
1.228495,64,800, , ,4,2,128,disabled,cores
1.1742866666666665,64,1280, ,#pragma omp parallel for,4,2,160,disabled,cores
4.445516666666666,2,800, , ,4,2,160,disabled,cores
0.5946066666666666,16,200, , ,4,16,128,disabled,cores
1.3932950000000002,192,800, , ,4,2,128,disabled,cores
1.5449066666666667,32,200, , ,4,2,128,disabled,sockets
1.5039566666666666,48,200, , ,4,2,128,disabled,cores
1.5430333333333335,48,200, , ,4,16,128,disabled,cores
2.193566666666667,4,200, , ,8,16,128,disabled,cores
0.6157866666666667,16,1000, , ,128,16,128,disabled,cores
0.5936866666666667,16,200, , ,128,16,128,disabled,cores
0.5966366666666666,16,200, , ,64,16,80,disabled,cores
0.59612,16,200,#pragma clang loop unrolling full, ,4,16,128,disabled,sockets
0.5974266666666667,16,200, , ,4,16,80,disabled,cores
1.4083033333333335,48,200, , ,96,16,128,balanced,cores
0.6141583333333333,16,800, , ,128,16,128,none,cores
0.5971833333333333,16,200, , ,128,96,128,disabled,cores
1.623925,64,200, , ,128,16,128,disabled,cores
0.5806166666666667,16,200, , ,128,16,128,balanced,cores
0.5933366666666666,16,200, , ,64,16,128,disabled,cores
0.5971383333333333,16,200, , ,96,16,160,disabled,cores
0.59491,16,200, , ,16,16,128,disabled,cores
1.5523783333333334,32,200, , ,128,16,128,balanced,cores
0.5808533333333333,16,200, , ,128,96,128,balanced,cores
0.5786783333333333,16,100,#pragma clang loop unrolling full, ,128,64,128,balanced,cores
0.5946416666666667,16,800, , ,128,16,128,balanced,cores
0.575605,16,100, ,#pragma omp parallel for,128,64,128,balanced,cores
4.4249833333333335,2,100,#pragma clang loop unrolling full, ,128,64,128,compact,cores
1.5826116666666667,256,100,#pragma clang loop unrolling full, ,64,64,128,balanced,cores
0.5901933333333335,16,100,#pragma clang loop unrolling full, ,128,64,128,explicit,cores
1.4343883333333336,192,640, ,#pragma omp parallel for,128,64,128,balanced,cores
0.5782833333333334,16,100, , ,128,64,128,balanced,cores
0.5755066666666666,16,100, ,#pragma omp parallel for,128,64,128,balanced,sockets
1.1328066666666665,48,400,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,128,balanced,cores
0.5857866666666668,16,400, ,#pragma omp parallel for,64,64,20,balanced,cores
1.1103683333333334,8,1000, ,#pragma omp parallel for,128,64,128,balanced,threads
0.5890666666666667,16,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,128,balanced,sockets
0.5812399999999999,16,100, , ,128,64,128,balanced,sockets
0.5932766666666667,16,100, ,#pragma omp parallel for,128,64,128,scatter,sockets
0.6084433333333333,16,800,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,128,explicit,sockets
1.3436616666666665,192,2000, ,#pragma omp parallel for,128,64,128,balanced,sockets
0.59583,16,100, , ,128,64,128,explicit,sockets
0.5827583333333334,16,100, ,#pragma omp parallel for,128,8,128,balanced,sockets
0.5799133333333333,16,100, ,#pragma omp parallel for,96,32,128,balanced,sockets
0.980855,128,100, ,#pragma omp parallel for,128,64,128,balanced,sockets
0.5780500000000001,16,100, ,#pragma omp parallel for,128,64,160,balanced,cores
0.5757616666666667,16,100, ,#pragma omp parallel for,128,64,128,balanced,threads
1.2749383333333333,32,100, ,#pragma omp parallel for,128,64,10,balanced,sockets
0.5808666666666666,16,100, ,#pragma omp parallel for,128,16,128,balanced,sockets
0.5790183333333333,16,100, ,#pragma omp parallel for,128,64,80,balanced,sockets
0.5816116666666666,16,100, , ,128,64,64,balanced,sockets
1.0397366666666665,256,100, ,#pragma omp parallel for,128,2,200,balanced,sockets
0.5916833333333332,16,640, ,#pragma omp parallel for,128,4,128,balanced,sockets
0.9594216666666666,64,100, ,#pragma omp parallel for,128,64,128,balanced,sockets
