p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
96,1000, , ,4,96,128,balanced,cores,10000000,19.954805,248.56635761260983
48,100, ,#pragma omp parallel for,8,16,80,disabled,threads,10000000,23.94065,502.3848853111267
128,100, ,#pragma omp parallel for,128,2,10,none,cores,10000000,20.68933,739.6741766929626
96,400, ,#pragma omp parallel for,64,16,64,none,cores,10000000,20.0996,947.8040935993196
8,400,#pragma clang loop unrolling full, ,96,4,10,none,cores,10000000,24.12068,1178.4858083724976
32,200, , ,4,64,128,compact,cores,10000000,30.3701,1466.3057107925415
128,200, , ,256,64,80,compact,threads,10000000,19.894225,1661.6834406852722
16,1000, ,#pragma omp parallel for,32,8,200,disabled,cores,10000000,13.0311,1798.0227835178375
128,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,10,scatter,threads,10000000,20.0173,1992.2784578800201
16,200,#pragma clang loop unrolling full, ,96,32,200,compact,threads,10000000,18.85801,2172.679761171341
4,1600, , ,4,96,40,scatter,threads,10000000,44.85779,2590.5354874134064
256,1000,#pragma clang loop unrolling full, ,256,8,64,explicit,sockets,10000000,19.802455,2813.6980650424957
192,200, ,#pragma omp parallel for,256,32,100,disabled,threads,10000000,21.54173500000001,3022.574265956879
256,800,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,64,none,cores,10000000,21.251379999999997,3230.99884057045
128,1600,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,128,explicit,sockets,10000000,19.719065,3442.2026801109314
64,1280, , ,4,16,80,explicit,threads,10000000,19.18339,3664.763013362885
48,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,128,none,threads,10000000,20.59428,3882.8624317646027
48,1280, ,#pragma omp parallel for,4,8,20,compact,cores,10000000,18.397215000000006,4066.771826028824
48,800, ,#pragma omp parallel for,32,256,100,explicit,sockets,10000000,19.24232,4271.908102750778
16,400, , ,4,256,160,none,threads,10000000,12.45007,4403.472759485245
64,100,#pragma clang loop unrolling full, ,32,32,128,balanced,cores,10000000,18.907304999999997,4660.80246758461
64,800, ,#pragma omp parallel for,256,64,128,disabled,cores,10000000,20.33308,4871.365284919739
96,800, ,#pragma omp parallel for,16,128,160,balanced,sockets,10000000,18.94955,5057.706043958664
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,40,explicit,cores,10000000,22.39668,5296.071140766144
4,1600, , ,128,32,40,balanced,threads,10000000,43.627585,5705.9249136447925
256,100, , ,16,96,160,balanced,sockets,10000000,25.757375000000003,5961.417636871338
256,1280, ,#pragma omp parallel for,128,4,20,scatter,sockets,10000000,19.147260000000006,6150.8938784599295
32,640, ,#pragma omp parallel for,2,2,10,scatter,threads,10000000,23.395255,6381.1606471538535
192,2000, , ,96,128,100,compact,threads,10000000,19.198105,6571.334981918335
2,640,#pragma clang loop unrolling full, ,2,64,100,explicit,sockets,10000000,89.16847999999996,7392.072359085083
4,1600, , ,96,256,100,scatter,sockets,10000000,44.672465,7812.5049147605905
128,640, , ,128,2,40,explicit,sockets,10000000,18.43158,8016.081012248993
4,640, ,#pragma omp parallel for,16,8,160,explicit,sockets,10000000,44.34853,8429.630448818207
