p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,isize,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,256,128,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.0199295,16.1803560256958
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,0.005609,23.809606075286865
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,256,2048,80,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,110,0.0182755,29.507026433944702
 , , ,4,32,32,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.0136155,35.79357576370239
 , , ,512,4,50,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.0167365,42.23027491569518
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,128,512,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.0211875,48.39970254898071
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.0089325,54.826903343200684
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,512,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.004769000000000001,60.631404638290405
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,256,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.008902,67.41525602340697
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,64, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.017328,74.2729136943817
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,4,32, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.0144545,80.94052267074584
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,1024,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.021299000000000002,87.36352634429932
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,128,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.0127625,93.42241930961607
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,512,1024, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,0.0209575,99.2283170223236
 , , ,16,16,1024, , , , ,110,0.0208105,105.47028040885924
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,256,20,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,0.016779000000000002,111.47438955307008
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,512,80,256, , , , ,110,0.020786,116.98334670066832
