objective,p0,p1,p2,p3,p4,p5,p6,p7,p8
0.6732733333333334,16,1000, ,#pragma omp parallel for,2,2,10,none,sockets
0.82242,16,1000, ,#pragma omp parallel for,2,128,10,none,threads
0.70447,16,1600, ,#pragma omp parallel for,2,2,10,none,threads
1.3359933333333334,128,1000, ,#pragma omp parallel for,2,4,10,none,threads
0.7973366666666667,16,200, ,#pragma omp parallel for,2,2,10,none,threads
0.7509983333333334,16,200, ,#pragma omp parallel for,2,16,10,none,threads
0.697315,16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,10,none,threads
0.664395,16,1000, ,#pragma omp parallel for,2,8,10,none,threads
0.795745,16,1280, ,#pragma omp parallel for,2,2,10,none,threads
0.6988183333333334,16,1000, ,#pragma omp parallel for,2,2,128,none,threads
0.6986150000000001,16,1000, ,#pragma omp parallel for,2,2,10,none,cores
0.8997366666666666,16,1000, ,#pragma omp parallel for,256,2,10,compact,sockets
0.6414433333333333,16,1000, ,#pragma omp parallel for,8,2,10,none,threads
4.628171666666667,2,1000, ,#pragma omp parallel for,2,2,10,none,threads
0.71504,16,1000, ,#pragma omp parallel for,16,2,10,none,threads
0.7195566666666666,16,1000, , ,32,2,10,none,threads
0.801335,16,1000, ,#pragma omp parallel for,96,2,10,none,threads
0.6715566666666666,16,1000, ,#pragma omp parallel for,2,32,10,none,threads
0.61575,16,1000, ,#pragma omp parallel for,2,2,10,explicit,threads
0.7054083333333333,16,1000, ,#pragma omp parallel for,2,2,40,none,threads
0.7209066666666666,16,1000, ,#pragma omp parallel for,4,2,10,none,threads
0.6856716666666666,16,1000, ,#pragma omp parallel for,2,4,10,none,threads
0.6918616666666667,16,1000, ,#pragma omp parallel for,4,2,10,none,sockets
0.6756000000000001,16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,80,balanced,threads
0.6485916666666666,16,1000, ,#pragma omp parallel for,2,96,10,none,threads
0.7286166666666668,16,2000,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,10,disabled,threads
0.605835,16,1000, ,#pragma omp parallel for,2,2,10,balanced,threads
0.6219216666666666,16,1000, , ,2,16,10,none,threads
1.4073016666666665,32,1000, ,#pragma omp parallel for,2,2,10,balanced,threads
0.599695,16,1000, , ,2,2,10,balanced,sockets
0.666095,16,640, ,#pragma omp parallel for,2,2,10,balanced,threads
0.6866866666666667,16,1000, ,#pragma omp parallel for,2,16,80,balanced,threads
1.370901666666667,64,1000, , ,2,2,10,balanced,sockets
4.627458333333333,2,1000, , ,32,2,10,balanced,sockets
0.7005516666666667,16,1000,#pragma clang loop unrolling full, ,2,2,10,balanced,sockets
0.616415,16,1000, ,#pragma omp parallel for,2,128,10,explicit,sockets
0.6239199999999999,16,1000, , ,2,2,40,balanced,sockets
0.7214649999999999,16,640, , ,2,2,10,balanced,sockets
0.6649166666666666,16,1000, , ,2,2,10,balanced,cores
0.6869183333333333,16,100, , ,2,2,10,balanced,sockets
1.59824,32,1000, , ,2,2,64,balanced,sockets
1.6803616666666663,192,1000, , ,2,2,10,balanced,sockets
0.6195433333333332,16,1000, , ,2,2,10,none,sockets
0.7041433333333335,16,1000, , ,2,2,10,scatter,threads
0.7725316666666666,16,400, , ,2,2,10,balanced,sockets
0.78437,16,1000, , ,2,8,10,scatter,sockets
1.237305,48,1000, , ,2,2,10,balanced,sockets
0.6705216666666667,16,1000, , ,2,16,10,balanced,sockets
0.6570683333333333,16,1000, ,#pragma omp parallel for,16,2,10,balanced,sockets
0.6141566666666666,16,1000, , ,8,16,10,balanced,threads
0.7732616666666666,16,1000, , ,2,2,128,balanced,threads
0.6882966666666667,16,1000, , ,2,256,10,balanced,sockets
0.6828116666666667,16,1000, , ,4,2,10,balanced,sockets
0.6134200000000001,16,1000, , ,2,2,10,balanced,threads
0.6212449999999999,16,1000, , ,2,2,64,balanced,sockets
0.6317383333333333,16,1000, , ,2,4,100,balanced,sockets
0.6293783333333334,16,1000, , ,2,2,160,balanced,sockets
0.6230600000000001,16,800, , ,2,2,10,balanced,sockets
2.339,4,1000,#pragma clang loop unrolling full, ,2,2,10,disabled,sockets
0.6232533333333333,16,1000, , ,2,96,10,balanced,cores
0.6660499999999999,16,1000,#pragma clang loop unrolling full, ,2,2,128,balanced,sockets
0.6500266666666666,16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,10,balanced,sockets
0.602345,16,1000, , ,256,2,10,balanced,sockets
0.6827416666666667,16,1000, ,#pragma omp parallel for,8,2,10,balanced,sockets
0.6047816666666667,16,1000, ,#pragma omp parallel for,2,2,10,balanced,sockets
2.0225016666666664,256,1000, , ,256,2,100,balanced,cores
0.7930033333333332,16,1000, , ,2,2,128,balanced,sockets
0.7124,16,1000, , ,256,2,10,balanced,threads
0.71586,16,1000, , ,2,2,10,disabled,sockets
0.75944,16,1000, , ,16,2,20,balanced,sockets
0.62546,16,640, ,#pragma omp parallel for,2,2,200,balanced,sockets
1.5372849999999998,128,1000, , ,2,2,10,balanced,sockets
1.521195,128,1000, , ,2,128,10,balanced,sockets
0.6862699999999999,16,1000, , ,128,2,10,balanced,sockets
0.6002333333333333,16,1000, , ,2,32,40,balanced,sockets
0.6214816666666666,16,1000, , ,2,32,10,balanced,sockets
0.6226033333333333,16,1000, , ,16,2,10,balanced,sockets
0.6472333333333333,16,1280, , ,64,2,10,none,sockets
0.6470316666666667,16,1000,#pragma clang loop unrolling full, ,2,2,10,none,sockets
0.6264583333333333,16,1000, , ,32,2,10,balanced,sockets
0.6286666666666667,16,1000, , ,2,2,80,balanced,sockets
0.64234,16,1000, , ,32,2,160,balanced,sockets
0.6641316666666667,16,1000, ,#pragma omp parallel for,2,4,80,balanced,sockets
0.6443333333333333,16,200, , ,2,2,10,balanced,sockets
1.2415683333333334,8,1000, , ,2,2,128,disabled,sockets
0.6167233333333334,16,800, , ,2,2,10,scatter,sockets
0.8549816666666666,16,800, , ,2,2,10,compact,sockets
0.6836266666666667,16,1280, , ,2,2,80,balanced,sockets
0.6727150000000001,16,1000, , ,2,96,10,balanced,sockets
0.6987916666666666,16,1000, , ,128,2,10,balanced,cores
1.654885,192,1000, , ,256,2,10,balanced,sockets
0.8242683333333334,16,1000, ,#pragma omp parallel for,2,2,10,compact,sockets
0.71794,16,1000, , ,2,2,10,explicit,sockets
0.6362166666666668,16,1000,#pragma clang loop unrolling full, ,2,2,10,none,threads
2.2242416666666665,4,1000, , ,2,2,10,balanced,sockets
0.7102750000000001,16,1000, , ,2,2,20,disabled,sockets
0.6540183333333334,16,1000, , ,96,2,10,balanced,sockets
0.717165,16,1600, , ,128,2,10,balanced,sockets
0.608035,16,1000, , ,2,2,100,balanced,sockets
0.6676950000000001,16,1000, , ,64,8,10,balanced,sockets
0.66582,16,1000, , ,2,64,64,balanced,sockets
1.6986366666666664,32,400, , ,2,2,200,balanced,sockets
0.7713733333333334,16,1000, , ,128,96,160,balanced,sockets
0.591015,16,640,#pragma clang loop unrolling full, ,2,2,10,balanced,sockets
0.7084133333333335,16,1000, ,#pragma omp parallel for,256,2,10,balanced,sockets
4.539863333333333,2,1280, , ,2,2,10,balanced,sockets
0.5923283333333332,16,640,#pragma clang loop unrolling full, ,2,96,10,balanced,sockets
0.7171433333333334,16,640,#pragma clang loop unrolling full, ,2,2,10,balanced,threads
0.7676366666666666,16,640,#pragma clang loop unrolling full, ,2,8,10,balanced,sockets
0.6817150000000001,16,640,#pragma clang loop unrolling full, ,2,2,20,disabled,threads
1.5235483333333335,32,640,#pragma clang loop unrolling full, ,128,2,10,scatter,sockets
2.3897133333333334,4,640,#pragma clang loop unrolling full, ,2,2,10,balanced,sockets
0.754315,16,640,#pragma clang loop unrolling full, ,32,2,10,balanced,sockets
0.7176933333333334,16,400,#pragma clang loop unrolling full, ,256,2,10,balanced,sockets
0.5866183333333334,16,640,#pragma clang loop unrolling full, ,2,2,200,balanced,cores
0.7972983333333333,16,1600,#pragma clang loop unrolling full, ,2,2,10,balanced,threads
0.7833183333333334,16,640, , ,2,2,160,balanced,sockets
0.723825,16,640,#pragma clang loop unrolling full, ,2,2,128,balanced,cores
0.588375,16,400,#pragma clang loop unrolling full, ,2,256,200,balanced,cores
0.7503350000000001,16,640,#pragma clang loop unrolling full, ,2,2,64,balanced,cores
1.8165566666666664,192,640,#pragma clang loop unrolling full, ,2,2,200,balanced,cores
0.6800583333333333,16,200,#pragma clang loop unrolling full, ,2,2,200,balanced,cores
0.7456650000000001,16,1600,#pragma clang loop unrolling full, ,2,2,200,balanced,cores
0.7684983333333334,16,800,#pragma clang loop unrolling full, ,2,96,200,balanced,cores
0.6747916666666667,16,640,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,200,balanced,cores
0.7193716666666666,16,640,#pragma clang loop unrolling full, ,2,16,200,balanced,cores
0.7908533333333333,16,640,#pragma clang loop unrolling full, ,128,2,128,none,cores
2.3590500000000003,4,640, , ,96,2,200,balanced,cores
0.7665733333333332,16,640,#pragma clang loop unrolling full, ,2,8,200,balanced,cores
0.68138,16,640,#pragma clang loop unrolling full, ,32,2,200,balanced,cores
1.4161716666666668,128,640,#pragma clang loop unrolling full, ,2,2,200,balanced,cores
0.7178016666666666,16,640,#pragma clang loop unrolling full, ,2,2,40,balanced,cores
0.6998599999999998,16,1000,#pragma clang loop unrolling full, ,2,2,200,balanced,cores
0.9354183333333334,16,640, , ,2,2,200,compact,cores
0.7663916666666667,16,640, , ,2,2,200,balanced,cores
1.205223333333333,8,1280,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,200,balanced,cores
2.4418816666666667,4,640,#pragma clang loop unrolling full, ,2,2,200,balanced,cores
