p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,32,200,45.0091455,421.9187626838684
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,128,200,37.328682,770.0836057662964
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,80,200,30.360936499999998,1053.4354043006897
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,64,20,200,47.2535975,1491.2785904407501
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,200,38.87495,1851.3209822177887
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,4,200,164.80480649999996,3352.5773978233337
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,8,200,130.8249545,4559.440350532532
 , , ,32,32,8,200,35.227196,4887.0334997177115
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,32,50,200,40.669387,5262.14083981514
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,20,200,36.095496,5596.755815029144
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,16,200,54.1834365,6097.9256250858325
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,16,64,200,39.2435885,6461.993426322937
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,8,64,200,38.6520615,6820.116903066634
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,20,100,200,33.28692700000001,7130.678886890411
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,50,200,59.67089,7677.293042182922
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,128,200,30.589759,7963.510898113251
 , , ,96,80,16,200,33.132203499999996,8271.443786144257
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,100,64,200,39.3918655,8637.940660238266
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,8,200,136.29810550000002,9879.792773008348
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,32,200,39.91415000000001,10250.969975709915
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,128,200,33.4626725,10564.369248628616
 , , ,80,2048,16,200,39.4222675,10929.82734131813
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,80,20,200,46.013419,11358.180890083313
 , , ,20,128,4,200,36.892542,11701.220448255539
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,20,16,200,52.549617500000004,12188.538405179976
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,200,38.734465,12548.691988229752
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,100,200,27.858612,12810.202175855637
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,4,200,115.5394695,13861.115360975266
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,32,200,54.8969725,14366.236966609957
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,2048,20,200,44.1579155,14775.56637263298
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,100,200,35.9447435,15109.785096883774
 , , ,20,80,100,200,28.4427375,15378.940315723416
 , , ,32,128,128,200,24.731220999999998,15611.145033121109
 , , ,128,2048,100,200,37.103736,15954.79130887985
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,20,256,200,20.543982500000002,16149.315200567244
